SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-7048,1,202401,PHOENIX,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,01/24/2024,Parking lot entrance on W. San Angelo Street near N. Colorado Street,85233
30270-7021,1,202401,SAN_FRANCISCO,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/31/2023,Turner Terrace near Missouri Street,94107
30270-6981,2,202401,SAN_FRANCISCO,Motorcycle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01/13/2024,Larkin Street at Bush Street,94109
30270-6932,2,202401,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,01/02/2024,N. Central Avenue at E. Osborn Road,85015
30270-7020,1,202312,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/31/2023,East Playa Del Norte Drive near North Scottsdale Road,85288
30270-7019,1,202312,SAN_FRANCISCO,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12/27/2023,Stanyan Street near Haight Street,94117
30270-7018,1,202312,PHOENIX,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/24/2023,East Palm Lane near North 43rd Street,85008
30270-7017,1,202312,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12/23/2023,North Third Street at Washington Street,85004
30270-7015,1,202312,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/21/2023,Gilman Avenue at Third Street,94124
30270-7014,1,202312,SAN_FRANCISCO,V2V Intersection,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/19/2023,Beach Street near Larkin Street,94109
30270-7013,1,202312,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,12/11/2023,North 32nd Street at East Filmore Street,85008
30270-7012,1,202312,PHOENIX,Secondary Crash,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,12/07/2023,South McClintock Drive at East Baseline Road,85283
30270-7007,1,202312,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/14/2023,Napoleon Street near Evans Avenue,94124
